1,lifestealer,oracle,undying,sniper,hoodwink,natures_prophet,tiny,tinker,chaos_knight,sven,"""aghanims_scepter,orb_of_corrosion,phase_boots,skull_basher"""
2,oracle,lifestealer,undying,sniper,hoodwink,natures_prophet,tiny,tinker,chaos_knight,sven,"""ring_of_basilius,aether_lens,tango,sentry_ward,arcane_boots"""
3,undying,lifestealer,oracle,sniper,hoodwink,natures_prophet,tiny,tinker,chaos_knight,sven,"""bracer,lotus_orb,harpoon,arcane_boots,quelling_blade"""
4,sniper,lifestealer,oracle,undying,hoodwink,natures_prophet,tiny,tinker,chaos_knight,sven,"""wraith_band,diffusal_blade,maelstrom,monkey_king_bar,power_treads"""
5,hoodwink,lifestealer,oracle,undying,sniper,natures_prophet,tiny,tinker,chaos_knight,sven,"""arcane_boots,crystalys,gleipnir"""
6,pugna,lifestealer,necrophos,gyrocopter,earth_spirit,void_spirit,invoker,monkey_king,bristleback,phantom_lancer,"""octarine_core,aether_lens,aghanims_scepter,greater_healing_lotus,null_talisman,arcane_boots"""
7,lifestealer,pugna,necrophos,gyrocopter,earth_spirit,void_spirit,invoker,monkey_king,bristleback,phantom_lancer,"""phase_boots,shadow_blade,mjollnir,orb_of_corrosion,skull_basher,echo_sabre"""
8,necrophos,pugna,lifestealer,gyrocopter,earth_spirit,void_spirit,invoker,monkey_king,bristleback,phantom_lancer,"""shivas_guard,blade_mail,ghost_scepter,null_talisman,radiance,arcane_boots"""
9,gyrocopter,pugna,lifestealer,necrophos,earth_spirit,void_spirit,invoker,monkey_king,bristleback,phantom_lancer,"""magic_wand,bracer,bracer,glimmer_cape,arcane_boots,sange"""
10,earth_spirit,pugna,lifestealer,necrophos,gyrocopter,void_spirit,invoker,monkey_king,bristleback,phantom_lancer,"""tranquil_boots,spirit_vessel,dust_of_appearance,orb_of_venom,heart_of_tarrasque"""
11,treant_protector,spectre,bloodseeker,tidehunter,legion_commander,chaos_knight,dazzle,spirit_breaker,phantom_assassin,windranger,"""echo_sabre,arcane_boots,meteor_hammer,sentry_ward,aghanims_scepter"""
12,spectre,treant_protector,bloodseeker,tidehunter,legion_commander,chaos_knight,dazzle,spirit_breaker,phantom_assassin,windranger,"""manta_style,power_treads,magic_wand,blade_mail,skull_basher,heart_of_tarrasque"""
13,bloodseeker,treant_protector,spectre,tidehunter,legion_commander,chaos_knight,dazzle,spirit_breaker,phantom_assassin,windranger,"""radiance,eye_of_skadi,magic_wand,sange_and_yasha,phase_boots,wraith_band"""
14,tidehunter,treant_protector,spectre,bloodseeker,legion_commander,chaos_knight,dazzle,spirit_breaker,phantom_assassin,windranger,"""meteor_hammer,pipe_of_insight,phase_boots,blink_dagger,heavens_halberd,soul_ring"""
15,legion_commander,treant_protector,spectre,bloodseeker,tidehunter,chaos_knight,dazzle,spirit_breaker,phantom_assassin,windranger,"""bracer,demon_edge,phase_boots,blade_mail,blink_dagger,heart_of_tarrasque"""
16,luna,leshrac,dark_willow,primal_beast,vengeful_spirit,faceless_void,outworld_destroyer,natures_prophet,treant_protector,centaur_warrunner,"""satanic,butterfly,silver_edge,refresher_orb,black_king_bar,manta_style"""
17,leshrac,luna,dark_willow,primal_beast,vengeful_spirit,faceless_void,outworld_destroyer,natures_prophet,treant_protector,centaur_warrunner,"""boots_of_travel,blink_dagger,kaya_and_sange,black_king_bar,bloodstone,shivas_guard"""
